RF_Power_W,Pressure_mTorr,Gas_Flow_sccm,Electrode_Gap_cm,Etch_Rate_nm_per_min,Uniformity_pct,Selectivity_ratio
262.67,62.38,92.32,4.642,546.2,5.48,7.622
294.34,34.21,198.89,3.039,1007.6,5.393,6.902
235.67,81.78,178.46,3.005,756.55,3.046,9.954
514.37,37.93,132.21,1.201,1007.57,8.695,5.7
278.38,50.97,122.49,1.14,791.03,5.914,8.006
240.47,11.05,131.72,3.205,650.98,5.975,8.082
371.35,16.52,56.24,2.753,504.05,7.646,5.412
170.46,45.32,91.12,4.357,499.42,4.49,7.407
501.1,53.19,27.1,1.643,621.41,8.238,4.263
137.28,64.0,105.6,1.1,555.35,4.441,10.243
593.44,36.25,117.74,2.796,998.61,8.759,4.006
486.12,72.55,60.99,1.95,648.78,7.439,5.811
199.36,87.41,193.53,1.198,802.02,2.987,10.438
102.76,80.19,183.7,3.898,664.64,2.022,10.959
507.73,13.57,149.99,1.446,969.59,9.211,5.798
453.43,53.25,116.01,3.433,849.39,6.816,6.021
464.5,19.44,176.59,2.124,1047.79,7.11,6.15
485.64,31.78,43.52,1.694,651.45,9.288,4.695
137.02,98.8,162.29,2.519,500.09,1.894,10.805
279.23,22.82,42.47,4.206,391.38,7.178,5.65
157.93,54.9,162.96,2.568,806.37,4.118,9.727
531.55,65.63,69.64,4.003,709.26,8.043,5.696
411.65,73.22,177.88,1.502,1028.18,5.856,8.479
265.45,60.37,189.93,4.091,895.99,3.909,8.178
131.78,10.88,46.78,1.948,274.65,5.857,7.527
255.49,39.38,103.28,3.71,616.61,5.868,7.011
262.59,56.59,196.58,3.263,945.39,3.445,8.043
464.8,17.91,107.01,4.717,724.57,8.808,4.272
418.78,41.56,175.44,2.549,1073.08,6.407,6.928
543.61,12.99,125.97,1.265,943.37,9.497,5.376
336.11,17.07,87.56,1.077,648.68,8.158,6.284
159.8,45.72,71.44,4.307,405.15,5.169,6.911
456.62,21.94,56.58,3.099,607.9,8.973,4.67
480.39,61.08,157.12,4.101,987.0,6.443,6.387
380.64,72.05,89.58,1.938,675.39,6.228,7.524
485.48,82.05,112.03,2.38,744.04,6.555,7.444
346.9,28.01,108.62,1.12,757.69,6.867,7.325
361.37,25.07,123.91,4.846,733.0,7.743,5.349
313.77,19.41,175.8,3.671,889.34,6.996,6.421
112.71,67.28,196.53,4.733,737.74,2.83,9.142
153.95,73.58,93.37,2.062,480.12,3.976,9.64
115.71,12.84,168.95,3.446,662.63,4.294,8.84
418.21,94.26,157.62,3.714,758.64,4.778,7.787
257.18,14.68,123.24,2.27,670.81,5.463,6.813
354.29,58.72,192.09,4.392,1005.45,5.135,8.264
553.78,73.82,56.09,4.789,610.57,7.921,5.161
224.65,88.39,39.67,4.539,168.26,5.496,8.107
305.19,74.27,173.71,3.956,835.51,4.423,7.741
477.78,82.16,99.05,2.11,740.8,6.54,7.339
214.4,40.55,172.45,2.126,901.79,4.908,8.123
138.49,83.33,180.76,4.853,657.43,2.37,9.177
244.88,17.21,31.24,1.041,378.4,7.097,6.384
180.61,90.53,179.02,3.864,652.59,2.673,9.609
564.85,59.28,100.7,3.825,860.23,8.605,5.008
504.06,83.56,111.88,3.491,747.01,6.812,5.825
416.7,50.71,132.79,4.96,867.04,7.201,6.507
535.73,67.92,186.75,2.248,1141.38,6.784,7.509
501.84,57.38,23.44,2.36,610.04,8.479,4.259
193.29,75.84,105.83,1.316,561.36,4.354,9.882
546.28,17.35,143.79,2.771,999.38,8.184,4.351
369.67,15.43,150.09,2.044,838.63,7.134,6.822
503.72,32.24,144.66,2.374,1019.25,7.445,5.638
548.05,24.36,44.2,4.338,612.68,9.875,3.501
259.0,88.46,73.89,4.742,319.0,4.702,7.806
155.03,29.73,84.57,1.743,516.48,6.331,8.581
213.97,97.83,164.8,2.49,610.39,2.745,9.504
313.55,40.32,70.18,4.715,529.63,6.348,6.293
509.01,26.39,57.93,1.247,700.57,9.367,5.475
530.37,81.07,192.34,1.369,1121.28,6.808,8.06
103.48,69.28,21.6,1.651,217.88,4.949,10.134
355.37,54.84,199.61,3.381,1065.69,4.829,7.519
308.71,59.98,141.83,1.602,862.79,4.796,8.746
211.05,74.73,169.12,4.872,719.09,4.253,8.73
159.93,30.56,73.03,2.787,480.95,4.485,8.148
268.81,99.67,22.58,3.006,116.72,4.3,8.16
571.45,97.73,152.82,1.987,865.48,6.557,7.099
261.6,68.53,170.15,2.884,821.78,3.877,9.452
359.4,27.96,153.29,3.648,870.72,6.757,6.156
451.51,71.22,45.71,4.005,526.74,7.05,5.074
281.81,16.5,155.62,4.015,775.11,6.064,6.334
585.89,12.76,158.41,3.312,1033.02,9.011,4.596
581.22,33.19,138.54,4.617,983.24,9.138,5.042
225.89,51.64,157.9,4.27,786.54,4.678,8.096
348.62,88.14,172.27,4.028,791.1,4.705,9.029
250.44,75.45,130.45,1.222,728.38,4.985,8.519
242.42,76.84,35.95,1.028,378.24,5.705,8.196
118.44,48.29,107.77,1.85,592.07,4.299,8.88
404.78,41.13,33.98,3.654,521.19,7.103,5.182
351.34,43.39,93.36,2.645,714.86,6.44,6.673
125.74,98.89,93.28,2.61,275.5,2.706,10.456
239.32,13.61,31.88,4.538,242.88,7.573,5.229
554.13,88.03,82.79,4.582,624.31,7.428,5.731
219.78,62.08,39.98,4.637,322.98,5.327,7.09
172.45,49.48,165.48,2.256,823.27,3.654,8.62
344.73,75.27,190.58,3.764,951.93,4.803,8.22
592.83,53.8,33.02,2.087,701.37,9.763,4.504
221.03,88.61,191.92,1.762,758.53,2.965,10.198
436.07,91.06,114.06,1.739,679.27,6.356,7.878
480.81,47.95,73.92,2.368,771.12,7.932,5.659
218.82,34.91,33.84,2.72,385.33,5.865,6.603
464.11,63.31,110.11,4.324,798.04,7.086,6.627
283.89,92.11,163.01,1.48,720.9,4.352,9.094
416.15,28.96,147.28,3.94,878.36,7.326,5.47
416.76,66.07,29.04,3.126,495.53,7.856,7.391
367.89,66.84,33.12,2.152,469.39,6.341,6.229
145.14,75.98,92.52,2.971,469.28,3.466,8.475
517.65,21.84,73.15,2.2,751.33,8.898,4.953
260.39,74.42,61.83,3.384,416.49,4.559,6.714
193.26,91.81,70.58,2.735,286.52,3.574,8.976
120.39,26.17,164.63,1.658,753.78,4.364,10.044
395.45,31.38,187.26,1.466,1084.59,7.921,6.438
438.78,97.43,92.92,3.187,537.9,5.537,6.395
108.29,26.29,183.1,4.61,738.94,3.655,7.621
356.05,86.89,77.87,2.376,496.85,5.534,8.274
213.25,54.31,105.76,3.932,623.68,3.989,8.364
422.59,32.25,60.69,3.635,616.84,7.869,4.847
187.18,88.37,135.29,4.726,506.72,3.565,9.43
445.47,50.08,196.22,4.284,1096.86,6.822,7.311
293.37,56.33,128.63,3.266,761.79,5.453,8.543
568.36,42.33,84.41,3.628,841.86,8.619,4.355
168.76,63.37,136.61,4.594,598.03,3.998,7.388
270.53,24.72,42.13,2.598,455.65,6.397,5.809
156.74,45.2,179.96,2.307,874.76,3.238,8.996
562.35,97.25,110.56,1.043,737.22,7.507,7.082
538.67,33.23,100.88,4.306,824.31,8.394,4.311
228.97,69.11,125.46,4.204,631.54,4.278,8.794
429.99,39.27,132.46,1.418,942.0,7.032,7.275
508.61,79.61,32.92,3.307,512.36,7.711,5.571
377.6,21.78,142.87,2.856,853.95,7.472,6.754
364.83,97.28,63.55,1.475,407.22,5.184,8.372
220.93,50.84,148.51,4.922,753.16,4.227,7.799
146.55,31.24,168.06,1.859,807.79,4.254,9.341
548.61,16.61,164.71,1.269,1072.83,9.039,5.412
550.21,25.28,119.45,3.379,936.7,8.788,5.566
416.55,56.78,113.63,3.955,815.01,6.529,5.601
269.51,40.33,45.72,1.13,556.17,6.696,6.914
274.6,84.6,159.56,3.635,693.03,4.013,8.783
462.98,48.78,68.85,3.129,708.65,7.946,5.729
548.56,32.38,109.41,1.413,918.31,8.273,5.887
543.54,65.54,71.17,1.69,789.17,8.134,5.81
489.94,73.61,44.09,3.272,557.07,7.444,5.037
421.02,25.03,133.32,2.185,912.82,7.085,6.482
142.07,25.09,29.78,4.753,208.85,6.764,6.865
180.81,13.3,154.76,4.275,622.69,5.117,6.247
549.28,76.28,77.17,4.934,668.5,8.19,5.184
403.21,69.74,20.02,2.039,427.12,7.347,5.66
104.6,52.72,112.0,4.879,514.85,3.859,8.069
150.74,85.98,28.43,2.725,127.43,3.015,8.389
431.75,82.51,69.71,2.39,575.02,6.218,7.406
102.53,62.68,147.26,1.201,663.21,3.804,10.231
180.4,88.14,31.28,1.211,210.23,4.428,8.508
374.37,28.53,171.08,3.768,973.02,6.146,6.881
445.95,20.07,20.69,2.832,480.16,9.088,3.675
425.98,34.28,64.43,1.906,666.63,7.892,5.858
212.13,15.14,153.36,3.456,699.96,5.112,6.847
456.09,57.81,76.93,2.011,742.15,7.513,6.068
218.62,94.29,38.34,3.311,175.65,4.407,8.722
262.7,13.54,84.84,2.437,499.75,7.55,6.683
473.25,20.99,68.67,4.294,642.26,9.265,4.911
424.82,50.7,171.69,4.283,961.45,6.987,6.513
524.61,94.05,76.4,2.909,564.63,6.494,6.669
428.81,38.45,162.01,2.403,1010.25,6.343,6.403
384.15,55.65,180.54,2.45,1046.44,5.611,7.758
146.84,13.74,98.09,4.223,424.95,5.607,7.171
283.86,23.35,183.79,2.313,913.46,5.144,7.525
232.6,98.8,87.92,1.836,334.27,3.878,8.53
221.99,96.86,193.53,1.339,743.52,3.203,10.829
586.51,10.44,36.07,2.867,594.46,10.388,3.304
296.55,95.66,143.66,2.929,591.98,3.889,8.715
546.02,67.52,108.89,4.364,833.27,8.008,4.795
415.57,88.11,89.78,1.885,613.49,5.858,8.389
497.41,50.93,133.89,2.524,967.38,7.092,6.376
351.32,56.4,146.69,4.234,843.18,5.368,6.964
388.45,54.0,20.79,4.294,470.84,8.288,4.863
346.26,70.02,50.05,2.538,478.35,6.052,6.659
197.62,22.57,148.35,2.836,693.22,4.791,8.38
461.23,12.7,139.95,2.213,894.38,7.775,5.496
240.39,37.71,193.89,4.73,899.72,6.2,7.453
112.16,73.42,156.99,1.475,680.45,2.53,10.688
422.74,28.17,191.14,4.735,1022.72,6.993,5.547
188.56,70.61,146.46,3.735,666.57,3.763,9.704
570.23,97.29,73.65,3.126,592.19,7.338,6.832
576.96,18.45,38.97,1.131,697.13,10.957,3.755
557.43,70.53,160.73,2.902,1068.06,7.613,6.079
285.08,49.94,135.95,2.631,778.92,5.343,6.479
107.73,88.13,28.67,1.645,116.1,3.266,8.835
564.16,25.94,84.81,3.626,760.46,9.163,3.356
314.09,72.34,192.22,4.885,888.25,4.926,8.182
583.33,85.43,110.07,3.249,817.1,8.096,5.859
581.81,95.02,97.89,3.859,673.3,6.773,5.345
526.5,71.49,102.39,1.274,857.55,8.268,6.434
247.22,54.75,57.6,2.671,486.09,5.458,7.692
292.55,65.61,86.37,1.465,615.77,6.043,8.316
525.57,88.2,86.57,3.451,648.53,6.884,5.322
258.46,61.35,29.42,4.754,341.24,5.814,6.577
184.75,12.73,158.16,3.647,651.49,5.443,6.7
378.4,93.79,94.97,1.307,561.65,5.96,8.795
568.08,72.06,167.99,2.419,1108.47,7.46,6.964
448.01,70.89,173.06,3.203,989.93,5.699,6.863
385.03,29.41,58.16,2.613,604.15,7.301,5.217
148.59,69.3,138.32,4.335,641.15,2.934,8.743
407.5,45.45,105.01,4.259,755.87,7.493,4.75
595.03,68.61,178.43,3.447,1149.82,7.456,6.216
170.04,19.59,58.83,2.494,368.94,5.34,6.931
359.16,69.21,142.01,2.021,851.76,5.271,8.502
538.69,99.95,129.4,1.423,760.36,6.538,7.007
470.38,14.34,73.15,2.42,663.69,8.181,4.363
448.51,97.95,44.59,2.653,353.39,5.913,6.247
451.24,46.62,137.3,3.703,924.37,6.569,5.549
279.75,88.37,152.95,3.633,684.95,3.705,8.262
246.8,80.41,76.81,1.28,490.46,4.68,9.32
504.68,61.03,136.07,2.581,982.0,6.372,6.031
505.06,76.46,91.12,1.727,762.42,8.164,6.709
533.54,89.07,148.38,1.627,918.63,7.23,7.209
556.62,46.37,55.86,4.309,714.92,8.829,3.569
355.67,39.43,180.24,1.168,1036.91,6.413,7.706
350.76,70.08,71.73,2.677,580.45,5.984,7.51
499.15,82.71,86.2,1.673,691.33,7.656,6.244
424.98,78.61,30.46,4.517,393.77,6.867,6.312
450.98,81.8,40.07,3.228,473.82,7.183,5.854
497.9,49.2,112.86,1.926,922.94,7.585,5.802
545.0,83.61,68.17,3.01,624.62,6.73,6.192
269.0,20.82,170.39,3.926,840.04,6.022,6.667
287.79,59.0,22.64,4.832,344.0,7.131,6.263
146.99,10.52,88.24,1.882,419.15,6.754,7.3
389.14,39.21,80.72,4.545,623.6,7.046,5.572
117.97,42.98,23.48,4.737,211.48,5.63,5.969
332.8,45.66,42.39,4.666,457.86,7.037,4.817
371.32,72.59,94.46,3.542,640.86,6.121,7.397
243.27,44.97,108.72,3.519,643.86,4.616,7.953
395.42,50.38,92.77,2.613,712.77,6.165,6.037
115.25,31.38,115.57,4.01,529.69,4.149,7.85
118.67,43.59,127.12,3.125,612.91,3.689,8.839
511.3,30.45,21.79,3.71,558.58,9.009,4.275
280.1,16.59,103.54,2.714,599.49,6.646,5.464
163.53,64.31,193.43,3.926,859.48,3.553,8.935
361.12,70.14,113.43,4.298,660.94,6.132,6.894
485.0,65.75,141.96,1.586,1000.36,7.671,7.388
207.91,51.71,76.14,4.332,477.48,5.465,8.599
411.45,44.18,159.32,3.161,991.15,5.774,6.565
142.67,87.7,159.13,4.379,555.85,3.301,9.064
125.84,56.72,113.83,2.725,591.99,3.286,9.217
365.68,53.13,195.68,2.516,1071.06,5.664,8.531
370.32,12.31,42.6,4.66,384.69,9.202,4.489
418.71,40.71,23.05,2.005,556.12,8.316,5.047
463.05,44.22,158.63,4.377,987.61,6.67,6.374
587.93,45.89,165.29,2.936,1158.09,7.508,5.777
358.15,62.22,41.64,3.056,515.6,6.85,5.988
261.48,58.02,67.8,2.234,522.98,5.435,7.848
497.59,64.71,23.16,3.292,545.67,7.952,5.703
235.42,78.84,72.8,2.301,435.46,4.844,9.111
319.49,83.17,159.17,1.157,816.62,5.124,9.15
139.23,74.63,113.23,2.088,534.52,3.497,9.452
112.68,96.0,82.66,1.026,252.87,3.127,11.111
581.32,11.64,86.91,4.913,713.65,10.235,2.489
517.99,27.62,20.24,4.863,532.65,10.237,3.648
447.99,10.68,73.96,2.581,632.44,8.809,4.017
304.48,68.27,136.36,3.913,738.55,4.895,8.335
186.65,90.82,195.35,2.383,747.48,2.868,10.341
178.22,31.91,172.47,3.684,793.2,4.322,8.785
225.12,93.43,24.25,4.222,129.9,4.354,8.224
374.61,15.42,181.74,4.787,903.11,6.877,5.236
457.3,94.1,160.98,2.601,823.61,4.908,8.706
430.1,41.65,160.47,4.133,990.07,6.791,6.949
239.97,19.13,102.44,2.064,589.01,6.669,7.501
577.43,53.73,91.64,4.961,854.05,8.709,4.04
468.95,33.11,74.52,1.103,746.19,8.785,5.503
377.18,35.64,31.83,3.414,513.19,7.287,5.418
405.86,37.66,61.08,3.638,607.37,7.469,5.05
309.8,82.27,64.39,3.752,416.21,4.683,8.354
223.87,58.52,107.13,1.482,633.4,4.931,8.664
277.99,38.02,154.54,4.754,797.12,5.718,5.684
478.92,64.93,105.29,1.725,831.12,7.515,6.822
107.2,74.45,30.41,3.491,173.09,3.82,8.459
158.04,34.54,192.4,1.891,898.56,3.585,9.091
123.0,47.22,189.69,2.229,876.67,3.659,9.477
120.36,20.97,161.33,3.186,688.48,4.12,8.727
527.73,26.3,198.44,2.669,1199.54,7.716,6.311
451.83,71.3,118.01,1.641,827.37,6.739,7.354
337.09,26.33,193.3,1.684,1026.39,5.967,7.351
148.92,57.26,33.61,2.673,340.84,4.653,8.04
345.81,73.81,85.82,4.029,557.84,5.987,7.107
336.74,19.62,60.57,4.592,500.28,7.111,4.722
186.6,61.06,55.25,1.337,441.72,4.932,8.78
316.93,33.09,45.34,2.572,501.05,6.792,6.369
299.25,96.66,132.03,1.401,607.3,4.514,10.176
407.93,53.52,160.64,1.066,1044.86,7.118,8.256
417.55,82.54,124.09,3.647,719.58,5.408,6.94
122.65,59.52,46.45,3.41,306.8,3.941,8.656
287.31,13.91,166.0,1.652,846.07,6.13,6.808
412.93,66.98,134.47,1.935,884.83,5.88,7.818
351.57,95.63,89.87,1.095,518.7,5.371,8.368
528.24,64.15,141.34,4.34,952.29,7.789,5.298
429.35,83.73,66.78,4.899,500.52,6.452,6.415
181.47,89.58,82.13,1.542,398.9,4.06,8.257
135.28,30.53,185.15,1.926,851.73,3.334,8.232
421.21,29.08,72.29,4.474,631.08,7.982,4.795
113.26,64.99,104.6,4.706,435.97,3.687,8.719
392.89,46.99,180.23,2.679,1007.96,6.515,7.081
570.12,85.59,147.39,1.202,977.96,7.269,6.33
387.74,91.0,31.2,1.158,367.95,5.692,7.184
294.08,41.81,46.51,3.296,471.74,5.54,6.574
421.64,31.32,21.41,2.572,505.85,8.248,5.3
329.13,80.25,133.57,1.115,756.65,5.548,8.768
372.81,34.73,100.58,3.333,743.02,6.964,6.644
570.73,84.04,44.17,1.045,627.74,8.594,6.282
293.05,48.14,192.43,4.149,956.77,5.487,7.405
580.6,70.08,115.34,2.226,949.79,7.644,5.803
552.68,18.6,63.54,1.161,747.15,10.427,3.722
197.9,66.15,110.11,3.353,587.41,3.382,8.442
134.68,50.66,142.33,2.591,687.83,3.205,9.644
150.39,62.79,33.72,4.895,235.24,4.318,7.892
109.11,25.12,69.45,3.177,372.09,4.604,8.323
147.22,76.32,165.25,2.101,712.92,2.871,9.983
441.5,87.65,102.74,3.838,632.39,6.139,7.647
135.59,29.51,118.38,2.086,601.82,4.677,8.262
259.49,18.61,97.91,4.617,507.61,6.333,6.812
522.44,12.13,27.9,2.499,525.51,9.706,3.703
111.64,67.78,49.83,3.199,304.54,3.065,9.032
507.23,64.64,100.2,1.202,862.61,8.396,7.26
240.93,59.2,57.65,2.704,467.11,5.053,7.517
159.08,30.88,29.0,4.329,275.31,5.711,6.754
448.37,45.18,171.86,4.223,1016.37,7.534,6.865
414.47,63.5,196.61,1.897,1089.07,5.218,7.92
538.74,54.71,162.77,1.904,1119.1,7.106,5.727
467.54,98.9,173.68,4.269,779.82,5.041,8.754
501.74,22.28,63.56,4.722,619.93,9.375,3.639
241.02,72.56,192.91,1.381,924.52,4.124,9.843
188.72,46.39,55.45,2.8,441.67,5.317,8.174
475.31,48.54,191.26,2.35,1163.4,7.673,6.557
503.42,74.58,199.07,4.483,1088.41,5.499,6.352
595.25,72.32,148.11,1.334,1101.03,8.212,6.615
306.31,99.21,196.61,1.845,782.71,3.36,9.042
286.01,21.56,122.52,4.01,676.38,6.158,6.237
488.21,19.37,66.72,1.205,701.6,9.104,5.104
270.4,75.19,98.66,2.97,556.17,4.11,8.053
565.38,62.05,126.84,2.768,970.35,8.29,5.005
529.21,34.67,33.15,2.338,640.65,9.522,5.234
314.5,17.15,132.02,2.578,750.52,6.488,6.597
475.44,17.71,196.61,3.12,1132.47,7.845,6.474
477.27,90.48,54.22,1.645,507.44,6.453,6.815
151.56,27.27,162.67,3.288,731.42,3.654,7.806
551.28,39.1,183.42,4.222,1150.94,7.123,5.465
352.63,30.4,189.87,4.041,1000.0,5.852,6.67
513.23,41.95,192.82,1.616,1223.86,7.564,6.007
260.02,16.25,113.86,1.597,674.48,6.577,7.802
547.76,56.72,195.92,2.073,1200.74,7.248,6.346
294.6,16.09,156.32,2.444,775.36,5.558,6.035
105.42,82.03,49.1,2.634,214.75,3.57,9.983
552.69,31.03,105.84,3.719,896.17,8.921,4.2
145.64,58.6,149.3,1.227,725.54,4.208,9.414
259.66,89.21,64.52,1.139,347.07,4.263,8.02
575.03,68.58,135.31,2.568,1006.7,7.637,6.91
575.3,57.97,139.99,3.789,1022.77,7.455,4.755
386.72,39.19,49.29,1.774,587.48,7.53,6.072
415.92,39.97,121.72,3.566,823.32,7.183,6.475
324.22,70.25,158.89,2.039,858.79,4.966,8.702
246.61,99.47,109.8,4.544,364.92,3.661,8.716
264.33,69.57,22.18,4.583,274.03,5.97,5.968
436.26,60.2,21.63,2.189,528.4,7.052,5.471
476.19,75.76,84.27,1.92,673.72,7.539,6.824
495.79,51.87,186.71,2.645,1141.69,6.594,6.27
494.81,15.41,61.16,1.962,639.92,9.737,4.629
145.6,60.61,134.19,3.69,625.41,3.361,9.229
347.21,96.19,59.97,4.304,303.56,5.299,7.898
128.78,25.78,77.9,3.692,418.52,4.707,6.801
374.76,72.1,172.65,4.297,871.39,5.728,8.7
320.77,28.08,151.2,2.588,862.06,5.734,7.396
543.85,58.22,37.17,1.625,694.38,9.128,5.279
275.46,18.7,97.17,3.952,591.03,6.45,6.688
158.53,50.53,25.25,2.442,302.1,4.25,8.95
171.5,78.05,106.56,3.685,483.14,3.354,8.21
480.76,41.28,139.24,2.083,965.61,7.072,6.047
409.11,69.84,41.33,1.325,517.86,7.266,5.649
150.56,81.59,72.0,4.97,297.89,3.65,8.568
142.05,93.45,91.61,1.625,339.45,3.622,10.278
450.48,31.12,185.52,4.954,1058.71,7.461,5.679
136.38,45.94,198.79,4.909,818.27,3.69,8.475
510.93,23.72,28.08,4.175,545.24,9.849,2.628
453.12,99.32,156.98,3.638,756.08,5.622,8.02
140.67,93.43,86.91,3.311,286.18,2.851,10.281
142.42,58.6,90.64,4.464,464.21,4.037,7.89
593.32,85.78,155.77,2.158,996.0,6.429,6.957
287.14,56.89,185.32,2.871,934.63,4.089,7.617
285.32,66.12,191.17,3.478,954.85,3.902,8.798
506.4,18.02,123.88,2.645,873.24,8.469,4.738
573.62,77.97,84.28,2.71,774.53,7.532,5.399
593.0,21.49,161.76,2.321,1089.01,9.214,4.442
476.69,84.35,65.18,3.257,544.87,6.442,6.195
288.13,80.38,121.53,4.402,619.07,4.793,8.192
141.75,73.79,84.54,1.806,441.45,4.31,8.727
488.57,13.25,138.19,4.738,861.62,8.938,4.251
379.2,37.28,63.27,3.756,593.33,7.319,5.57
312.11,33.68,54.49,4.293,459.51,6.842,5.221
553.18,42.41,185.28,3.225,1200.85,7.243,6.631
155.6,17.89,38.32,4.118,238.44,5.743,6.013
346.31,94.33,111.07,1.065,598.0,5.08,8.516
105.68,59.84,59.75,4.274,322.68,4.476,7.776
334.33,37.5,27.01,1.161,471.48,7.595,7.271
128.15,45.73,26.48,4.56,240.05,4.729,7.52
159.41,50.25,51.54,4.968,372.16,6.066,6.789
158.76,64.05,176.02,2.176,821.33,3.363,10.312
424.61,56.41,70.85,1.841,700.26,6.746,6.552
473.02,92.75,191.08,4.061,930.29,5.285,7.819
391.68,54.73,124.69,2.012,863.7,6.468,6.979
581.09,99.29,98.59,4.462,615.27,8.113,5.603
287.44,86.63,124.42,1.411,622.16,4.224,9.289
242.86,28.77,113.01,1.504,694.14,6.424,7.326
534.3,93.75,156.58,4.917,830.88,7.291,7.537
211.8,20.47,70.85,3.695,418.93,5.822,5.885
581.61,83.57,83.55,4.388,714.58,7.918,6.142
106.08,44.26,180.94,2.297,814.59,2.79,9.544
584.94,89.02,190.36,3.706,1033.12,6.476,6.932
121.58,88.13,180.66,3.377,648.82,1.902,10.881
545.57,82.53,95.5,3.413,731.58,7.454,5.728
363.85,81.1,160.47,3.73,821.74,5.329,8.44
596.48,37.42,105.74,3.301,935.02,8.606,3.064
136.9,17.28,109.56,2.716,511.87,4.081,7.344
376.93,46.27,56.84,2.104,624.0,7.163,5.848
584.65,25.62,126.4,4.074,958.06,9.361,3.506
361.55,72.55,53.5,1.905,498.73,6.442,7.14
414.7,41.15,79.68,3.769,668.99,7.293,5.776
447.87,97.8,173.91,1.933,854.02,5.282,8.862
327.27,67.69,57.27,3.501,492.8,6.476,7.055
413.78,84.02,32.81,3.988,371.92,6.837,6.009
392.16,21.93,32.42,1.875,481.65,8.24,5.467
550.58,87.58,189.34,1.24,1070.31,6.489,7.806
122.72,93.05,111.25,1.524,367.47,2.846,10.933
240.48,53.84,93.69,3.424,588.19,5.677,7.989
575.21,64.56,165.96,4.398,1066.41,7.641,5.691
545.13,78.83,170.45,1.18,1062.91,7.102,6.906
327.83,25.74,79.79,3.937,575.1,6.89,5.44
410.07,55.23,144.85,2.365,942.44,6.689,6.84
