episode,step,temperature_C,pressure_Torr,precursor_flow_sccm,carrier_flow_sccm,rf_power_W,deposition_time_s,current_thickness_nm,film_uniformity_pct,defect_rate_pct,action,reward,next_thickness_nm,done
2,7,743.065,1.4424,46.79,105.153,123.768,11.606,29.89,95.941,1.361,decrease_precursor_flow,1.65,32.833,False
2,8,742.686,1.4506,47.152,107.134,122.911,11.163,32.833,96.231,1.4,increase_carrier_flow,2.43,35.919,False
2,9,743.453,1.4473,47.501,110.06,128.103,11.183,35.919,97.144,1.294,increase_rf_power,5.607,38.84,False
2,10,744.119,1.4467,47.815,108.81,124.129,10.562,38.84,96.152,1.314,decrease_rf_power,4.081,41.475,False
2,11,747.993,1.4743,46.853,109.332,123.112,10.476,41.475,96.828,1.392,increase_temperature,5.354,43.786,False
2,12,750.121,1.4458,46.859,113.228,123.669,10.906,43.786,96.75,1.448,increase_carrier_flow,5.284,46.101,False
2,13,749.78,1.4263,47.289,111.951,125.333,11.232,46.101,96.167,1.485,increase_rf_power,4.519,48.599,False
2,14,749.163,1.4497,45.458,111.448,120.356,10.783,48.599,97.043,1.37,decrease_rf_power,8.085,51.002,False
2,15,746.158,1.3756,44.914,115.078,121.444,10.615,51.002,95.337,1.342,increase_carrier_flow,5.972,53.68,False
2,16,746.357,1.3734,45.705,115.595,123.114,10.409,53.68,97.547,1.295,increase_rf_power,12.027,56.368,False
2,17,744.581,1.4068,45.514,117.701,122.008,10.845,56.368,96.552,1.47,increase_carrier_flow,10.061,59.156,False
2,18,743.858,1.3833,45.065,118.38,118.094,11.037,59.156,97.281,1.107,decrease_rf_power,16.196,62.049,False
2,19,742.285,1.3411,44.239,118.751,117.646,10.961,62.049,96.665,1.183,decrease_temperature,16.64,65.14,False
2,20,743.698,1.3577,44.624,119.586,118.387,11.571,65.14,96.251,1.235,increase_temperature,18.039,68.267,False
2,21,741.634,1.3266,43.735,119.48,119.222,11.587,68.267,97.108,1.325,decrease_temperature,22.408,71.504,False
2,22,741.315,1.3103,44.284,119.762,115.602,11.566,71.504,95.976,1.235,decrease_rf_power,25.251,74.986,False
2,23,738.405,1.3437,45.532,119.383,116.511,10.843,74.986,96.423,1.084,decrease_temperature,32.591,78.356,False
2,24,739.834,1.3936,44.355,118.127,117.099,11.326,78.356,96.693,1.375,increase_temperature,36.505,81.521,False
2,25,736.53,1.3616,43.931,117.346,119.131,11.399,81.521,96.906,1.136,decrease_temperature,46.368,84.955,False
2,26,739.079,1.3459,43.295,118.158,121.038,11.533,84.955,96.825,1.163,increase_temperature,54.533,88.201,False
2,27,739.55,1.3103,43.741,116.948,117.832,11.748,88.201,96.173,1.329,decrease_rf_power,63.513,91.842,False
2,28,738.668,1.3111,44.01,116.018,119.009,11.588,91.842,97.563,1.12,increase_rf_power,82.067,95.444,False
2,29,733.843,1.3514,46.559,115.41,114.167,11.494,95.444,96.707,0.97,decrease_rf_power,151.978,99.645,True
2,30,735.002,1.3645,45.065,116.459,119.299,11.546,99.645,96.512,1.192,increase_rf_power,83.93,103.534,False
2,31,731.541,1.3686,44.674,119.231,118.864,12.046,103.534,97.006,1.109,decrease_temperature,68.364,107.746,False
2,32,729.803,1.373,45.887,118.745,114.634,12.041,107.746,96.528,0.998,decrease_rf_power,53.798,112.285,False
2,33,726.391,1.3326,46.369,117.961,108.222,12.277,112.285,96.549,0.769,decrease_rf_power,42.536,117.688,False
2,34,728.063,1.3414,48.752,118.591,109.191,12.226,117.688,97.503,0.986,increase_precursor_flow,32.774,123.243,False
2,35,727.02,1.3305,48.273,119.778,112.937,12.089,123.243,97.179,0.88,increase_rf_power,25.968,128.558,False
2,36,728.924,1.2742,47.446,118.604,107.136,11.8,128.558,97.0,0.97,decrease_rf_power,19.964,133.569,False
2,37,728.434,1.2484,47.389,120.178,104.696,11.527,130.0,97.054,0.897,decrease_rf_power,19.313,135.248,False
2,38,728.407,1.266,46.354,120.16,104.169,11.162,130.0,97.645,0.83,decrease_precursor_flow,21.61,134.591,False
2,39,726.362,1.2636,47.482,116.738,100.428,10.885,130.0,97.585,0.839,decrease_rf_power,20.897,135.303,False
3,0,741.882,0.8074,40.65,81.877,76.638,11.201,1.933,94.894,1.272,observe,-1.581,4.139,False
3,1,742.08,0.8307,42.447,82.651,75.708,10.934,4.139,95.478,1.322,increase_precursor_flow,-0.708,6.372,False
3,2,746.178,0.8753,43.583,81.27,77.846,11.125,6.372,96.635,1.484,increase_temperature,0.358,8.647,False
3,3,747.658,0.8912,43.924,78.595,78.055,10.959,8.647,96.908,1.587,decrease_carrier_flow,0.176,10.726,False
3,4,750.376,0.8976,45.275,78.613,78.562,10.631,10.726,95.809,1.371,increase_temperature,-0.163,12.768,False
3,5,750.274,0.8956,47.072,79.954,78.591,10.705,12.768,95.711,1.366,increase_precursor_flow,-0.229,14.881,False
3,6,749.972,0.877,45.822,80.721,79.569,10.169,14.881,96.526,1.545,decrease_precursor_flow,0.151,16.795,False
3,7,752.024,0.8779,44.977,79.095,80.43,10.283,16.795,96.538,1.489,increase_temperature,0.709,18.662,False
3,8,749.535,0.87,45.194,78.792,78.986,10.359,18.662,95.315,1.491,decrease_temperature,-1.644,20.562,False
3,9,748.731,0.8761,45.467,77.083,77.783,10.79,20.562,94.238,1.308,decrease_carrier_flow,-2.248,22.571,False
3,10,748.789,0.8768,45.35,78.904,71.1,10.909,22.571,94.792,1.482,decrease_rf_power,-2.376,24.755,False
3,11,747.284,0.8545,45.023,81.046,75.694,10.808,24.755,95.74,1.599,increase_rf_power,-1.204,26.984,False
3,12,747.097,0.8578,45.389,85.814,77.822,10.596,26.984,95.62,1.394,increase_carrier_flow,0.451,29.156,False
3,13,748.914,0.8585,45.668,85.835,78.664,10.723,29.156,96.35,1.377,increase_temperature,2.244,31.045,False
3,14,746.03,0.8571,45.752,84.795,80.741,10.321,31.045,95.543,1.383,decrease_temperature,0.915,33.16,False
3,15,746.587,0.8319,46.476,84.889,76.011,9.733,33.16,95.669,1.425,decrease_rf_power,1.192,35.071,False
3,16,746.531,0.8375,47.423,83.223,73.081,9.405,35.071,96.633,1.408,decrease_rf_power,3.607,36.982,False
3,17,741.528,0.7949,46.59,82.386,72.06,9.417,36.982,96.435,1.329,decrease_temperature,4.187,38.946,False
3,18,739.803,0.8069,45.055,82.97,72.317,9.373,38.946,95.263,1.53,decrease_temperature,0.675,41.11,False
3,19,739.352,0.775,45.125,81.356,70.437,9.492,41.11,95.157,1.46,decrease_rf_power,1.453,43.115,False
3,20,741.667,0.8109,45.654,83.401,65.735,9.396,43.115,95.629,1.397,decrease_rf_power,3.383,45.011,False
3,21,741.335,0.8579,45.484,84.022,65.155,9.419,45.011,95.911,1.523,increase_carrier_flow,3.531,47.146,False
3,22,744.63,0.8657,46.074,82.296,64.935,9.701,47.146,95.699,1.552,increase_temperature,3.492,49.26,False
3,23,745.611,0.8957,46.363,81.762,65.775,8.822,49.26,93.042,1.342,increase_temperature,0.672,51.198,False
3,24,746.515,0.9076,45.201,80.694,69.201,8.677,51.198,95.624,1.512,increase_rf_power,5.271,53.176,False
3,25,749.749,0.9109,44.199,80.529,69.112,8.267,53.176,95.031,1.623,increase_temperature,3.916,54.71,False
3,26,749.818,0.9038,44.092,80.864,70.654,7.967,54.71,96.355,1.508,increase_rf_power,8.191,56.133,False
3,27,746.984,0.9149,44.556,78.568,71.228,8.188,56.133,96.061,1.364,decrease_temperature,9.602,57.864,False
3,28,747.646,0.9073,44.073,79.874,74.926,8.726,57.864,95.624,1.495,increase_rf_power,8.639,59.71,False
3,29,749.18,0.9104,44.204,81.109,74.778,8.508,59.71,96.153,1.494,increase_temperature,10.751,61.336,False
3,30,749.86,0.9271,43.829,82.244,75.725,8.137,61.336,95.401,1.365,increase_carrier_flow,11.45,62.983,False
3,31,747.77,0.9016,43.881,81.833,74.883,8.323,62.983,95.941,1.507,decrease_temperature,12.619,64.659,False
3,32,749.003,0.8489,43.517,78.563,74.973,8.322,64.659,96.404,1.532,decrease_carrier_flow,14.572,66.168,False
3,33,748.002,0.861,42.989,78.561,77.438,8.154,66.168,96.116,1.404,increase_rf_power,16.403,67.705,False
3,34,749.95,0.8785,43.091,77.417,75.29,7.993,67.705,94.9,1.561,decrease_rf_power,14.118,69.14,False
3,35,747.466,0.8734,43.2,81.085,71.847,8.435,69.14,95.864,1.519,increase_carrier_flow,17.987,70.734,False
3,36,748.356,0.8695,44.654,80.4,74.677,8.241,70.734,94.92,1.523,increase_rf_power,17.874,72.291,False
3,37,751.246,0.8676,44.457,78.728,74.104,7.763,72.291,95.741,1.651,increase_temperature,20.141,73.573,False
3,38,756.864,0.853,45.893,79.094,73.726,7.893,73.573,95.622,1.604,increase_temperature,21.726,74.685,False
3,39,754.068,0.8144,46.546,78.679,72.236,7.896,74.685,95.636,1.55,decrease_temperature,23.871,75.879,False
4,0,692.478,0.8411,55.168,101.2,117.248,13.321,6.57,97.297,0.812,observe,6.909,13.323,False
4,1,691.934,0.8123,54.927,101.353,117.445,13.661,13.323,96.92,0.631,decrease_temperature,7.884,19.492,False
4,2,692.835,0.8124,54.178,101.0,116.985,13.58,19.492,96.647,0.662,increase_temperature,7.605,26.034,False
4,3,688.64,0.7901,53.915,99.971,120.439,13.531,26.034,96.586,0.791,decrease_temperature,7.097,31.95,False
4,4,688.462,0.7901,55.633,96.491,115.435,13.368,31.95,97.027,0.81,decrease_rf_power,8.726,37.784,False
4,5,687.694,0.8156,56.664,96.767,117.842,13.45,37.784,96.962,0.818,increase_rf_power,9.78,43.86,False
4,6,687.697,0.8524,54.213,94.641,114.874,13.341,43.86,95.584,0.666,decrease_rf_power,10.093,50.114,False
4,7,685.975,0.9139,56.014,94.023,113.965,12.996,50.114,96.559,0.692,increase_precursor_flow,14.566,56.527,False
4,8,685.805,0.8739,55.252,94.246,114.881,13.121,56.527,97.197,0.721,increase_rf_power,19.222,62.667,False
4,9,687.071,0.8736,53.876,93.772,115.794,13.305,62.667,97.703,0.834,decrease_precursor_flow,24.661,69.058,False
4,10,686.558,0.8924,55.81,96.713,112.724,13.027,69.058,95.968,0.65,decrease_rf_power,31.313,76.116,False
4,11,685.585,0.9029,55.708,95.737,111.039,12.813,76.116,98.335,0.779,decrease_rf_power,46.461,82.558,False
4,12,687.359,0.8906,55.522,94.667,104.409,12.4,82.558,95.323,0.576,decrease_rf_power,57.248,88.597,False
4,13,690.009,0.8895,56.812,95.283,106.366,12.13,88.597,97.355,0.61,increase_temperature,84.943,95.279,False
4,14,691.128,0.9037,56.263,93.599,103.405,12.156,95.279,96.384,0.603,decrease_rf_power,95.296,102.062,False
4,15,692.269,0.9191,57.814,95.514,100.902,12.661,102.062,97.745,0.58,decrease_rf_power,68.577,109.308,False
4,16,691.445,0.8739,57.643,93.175,103.321,13.116,109.308,97.064,0.562,increase_rf_power,48.28,116.218,False
4,17,690.188,0.8933,57.604,95.785,102.115,13.416,116.218,97.496,0.591,increase_carrier_flow,35.098,123.671,False
4,18,690.089,0.8904,56.768,96.778,103.741,13.594,123.671,97.956,0.602,increase_rf_power,26.485,131.443,False
4,19,690.835,0.8748,56.792,95.878,107.791,13.703,130.0,97.649,0.483,increase_rf_power,22.027,137.22,False
4,20,686.806,0.8947,56.852,96.254,104.475,13.696,130.0,97.453,0.711,decrease_temperature,19.404,137.812,False
4,21,685.928,0.8849,54.723,96.64,106.588,13.223,130.0,96.072,0.63,decrease_precursor_flow,18.306,136.469,False
4,22,686.035,0.8328,55.337,97.771,105.961,12.479,130.0,97.699,0.501,increase_carrier_flow,23.343,135.616,False
4,23,685.34,0.8033,56.142,96.758,106.971,12.648,130.0,96.578,0.792,decrease_carrier_flow,18.459,135.992,False
4,24,682.37,0.833,55.381,95.917,106.915,12.18,130.0,97.411,0.821,decrease_temperature,20.334,135.512,False
4,25,679.192,0.8299,56.123,93.1,104.228,12.443,130.0,96.97,0.992,decrease_temperature,18.079,135.471,False
4,26,680.129,0.8464,58.834,92.78,102.233,12.571,130.0,96.294,0.755,increase_precursor_flow,18.137,136.076,False
4,27,684.749,0.8545,58.102,94.154,101.96,12.495,130.0,95.88,0.769,increase_temperature,16.964,136.407,False
4,28,688.575,0.8662,57.726,93.393,100.935,12.419,130.0,97.511,0.517,increase_temperature,22.218,136.453,False
4,29,690.299,0.8567,58.102,91.702,104.256,12.793,130.0,95.692,0.725,increase_rf_power,16.482,136.977,False
4,30,691.109,0.8166,58.078,92.249,105.646,12.846,130.0,97.721,0.765,increase_rf_power,20.62,136.414,False
4,31,685.375,0.8086,57.914,89.621,105.882,13.22,130.0,96.799,0.699,decrease_temperature,19.624,135.907,False
4,32,684.031,0.8456,57.371,90.314,101.204,13.779,130.0,96.613,0.788,decrease_rf_power,17.777,136.833,False
4,33,681.211,0.8751,57.047,90.008,99.975,13.605,130.0,96.957,0.823,decrease_temperature,18.214,136.833,False
4,34,681.194,0.888,56.628,93.353,96.055,13.983,130.0,96.173,0.972,decrease_rf_power,15.094,137.261,False
4,35,683.185,0.9122,56.656,93.027,95.531,14.1,130.0,96.93,0.682,increase_temperature,18.558,137.769,False
4,36,684.833,0.9353,57.311,94.145,94.854,13.822,130.0,95.686,0.75,increase_temperature,15.773,137.463,False
4,37,684.666,0.9243,54.355,92.274,97.656,13.622,130.0,95.982,0.795,decrease_precursor_flow,16.234,137.183,False
4,38,684.378,0.9315,56.681,94.549,96.89,13.444,130.0,97.258,0.708,increase_precursor_flow,19.45,137.261,False
4,39,683.588,0.9682,56.567,97.998,97.117,13.98,130.0,97.681,0.659,increase_carrier_flow,20.109,137.993,False
5,0,671.55,1.3962,38.935,91.915,107.609,12.473,7.158,97.987,0.898,observe,7.645,11.323,False
5,1,670.768,1.4388,39.385,92.76,107.896,12.572,11.323,95.917,1.109,increase_carrier_flow,1.991,15.458,False
5,2,668.022,1.447,39.563,91.836,107.839,12.385,15.458,96.184,0.999,decrease_temperature,3.63,19.052,False
5,3,668.668,1.4183,40.275,90.063,106.424,12.198,19.052,96.733,1.031,decrease_carrier_flow,4.792,23.156,False
5,4,669.665,1.3656,40.232,93.06,106.754,12.218,23.156,97.249,0.857,increase_carrier_flow,7.582,27.436,False
5,5,666.301,1.3708,39.517,95.028,105.966,11.638,27.436,94.68,1.063,decrease_temperature,1.268,30.921,False
5,6,665.924,1.3602,40.596,96.825,105.54,10.997,30.921,97.083,1.093,increase_carrier_flow,6.403,34.538,False
5,7,667.887,1.3311,42.605,95.386,107.414,10.491,34.538,97.812,0.995,increase_precursor_flow,9.318,38.184,False
5,8,669.567,1.337,42.5,97.432,106.822,9.957,38.184,97.197,1.015,increase_carrier_flow,8.714,41.764,False
5,9,666.432,1.3189,41.918,96.884,103.382,9.768,41.764,97.391,1.079,decrease_rf_power,9.412,45.058,False
5,10,666.141,1.3091,42.058,95.659,100.515,9.486,45.058,96.099,1.005,decrease_rf_power,8.389,48.277,False
5,11,667.6,1.2694,42.083,95.329,101.369,9.482,48.277,96.069,0.962,increase_temperature,9.797,51.558,False
5,12,669.658,1.2141,42.429,97.114,100.986,9.647,51.558,97.014,0.769,increase_temperature,14.729,55.208,False
5,13,664.969,1.2377,41.444,96.43,97.52,9.224,55.208,96.418,1.045,decrease_temperature,12.976,58.336,False
5,14,665.874,1.2457,41.683,98.797,94.851,9.208,58.336,97.799,0.905,decrease_rf_power,18.873,61.68,False
5,15,665.25,1.2796,42.191,99.09,94.307,9.093,61.68,96.699,1.035,decrease_temperature,17.938,64.848,False
5,16,665.407,1.2627,42.723,103.461,89.864,9.19,64.848,97.288,1.064,decrease_rf_power,21.577,67.986,False
5,17,666.93,1.2921,42.915,105.159,84.004,9.667,67.986,97.512,0.988,decrease_rf_power,26.175,71.481,False
5,18,665.269,1.2957,42.898,105.584,86.715,9.137,71.481,96.814,1.079,increase_rf_power,28.203,74.741,False
5,19,662.327,1.3083,40.484,106.556,82.985,9.154,74.741,97.416,1.197,decrease_rf_power,32.487,77.469,False
5,20,660.938,1.2956,41.757,107.361,82.021,9.083,77.469,96.903,1.084,decrease_temperature,36.761,80.037,False
5,21,662.442,1.2988,44.144,105.711,81.764,9.622,80.037,96.205,1.19,increase_precursor_flow,41.045,83.324,False
5,22,662.446,1.3059,43.445,105.577,77.769,9.663,83.324,96.398,1.085,decrease_rf_power,49.771,86.449,False
5,23,664.423,1.315,42.719,105.156,74.017,9.355,86.449,97.303,1.169,decrease_rf_power,59.404,89.419,False
5,24,665.703,1.3016,42.967,104.944,76.2,9.195,89.419,95.567,1.13,increase_rf_power,66.16,92.369,False
5,25,663.205,1.3118,42.501,108.506,71.856,9.256,92.369,96.086,1.272,decrease_rf_power,76.922,95.135,False
5,26,658.555,1.3177,44.404,107.825,72.505,9.563,95.135,96.032,1.136,decrease_temperature,90.39,97.872,False
5,27,659.837,1.3149,43.392,108.015,71.046,9.405,97.872,95.452,1.402,decrease_rf_power,144.67,100.661,True
5,28,657.041,1.2983,45.315,109.706,71.29,9.122,100.661,96.531,1.342,decrease_temperature,84.678,103.199,False
5,29,656.859,1.2976,45.1,107.543,69.999,9.397,103.199,96.267,1.289,decrease_carrier_flow,73.666,105.701,False
5,30,657.082,1.2878,46.578,108.303,66.719,9.598,105.701,95.993,1.381,decrease_rf_power,62.208,108.399,False
5,31,656.099,1.3102,45.803,107.375,65.078,9.428,108.399,96.714,1.54,decrease_rf_power,53.781,111.063,False
5,32,660.634,1.2844,45.874,105.611,63.134,9.239,111.063,95.545,1.317,increase_temperature,45.559,113.826,False
5,33,658.201,1.3055,44.956,109.825,62.006,9.261,113.826,97.437,1.488,increase_carrier_flow,41.98,116.314,False
5,34,658.794,1.2718,45.166,108.143,65.662,9.504,116.314,94.653,1.267,increase_rf_power,32.302,119.124,False
5,35,660.17,1.3021,46.276,105.755,66.415,9.808,119.124,96.348,1.333,decrease_carrier_flow,30.035,121.99,False
5,36,659.568,1.2558,45.95,105.264,66.045,9.639,121.99,96.344,1.35,decrease_temperature,25.498,124.913,False
5,37,658.959,1.2456,46.042,102.382,67.238,9.639,124.913,97.031,1.156,decrease_carrier_flow,24.64,127.861,False
5,38,655.012,1.2524,46.035,102.638,66.083,9.839,127.861,96.617,1.374,decrease_temperature,19.017,130.621,False
5,39,650.796,1.2716,47.257,103.605,63.883,10.041,130.0,97.301,1.409,decrease_temperature,18.264,132.498,False
6,0,700.55,1.3093,47.25,124.95,90.013,8.307,1.018,96.199,0.301,observe,9.281,5.859,False
6,1,696.475,1.3102,46.131,124.374,91.666,8.114,5.859,97.014,0.513,decrease_temperature,9.391,10.364,False
6,2,697.425,1.2929,45.963,125.939,92.65,7.695,10.364,96.486,0.544,increase_carrier_flow,8.339,14.733,False
6,3,699.473,1.3001,46.12,125.626,94.346,7.584,14.733,97.926,0.336,increase_temperature,13.133,18.993,False
6,4,698.241,1.2702,45.055,122.883,96.171,8.127,18.993,96.256,0.451,decrease_carrier_flow,9.129,23.694,False
6,5,701.085,1.2588,45.157,119.871,96.838,7.808,23.694,96.397,0.414,decrease_carrier_flow,10.149,28.056,False
6,6,703.134,1.2392,44.02,116.637,96.172,7.633,28.056,97.808,0.385,decrease_carrier_flow,13.677,31.965,False
6,7,700.983,1.2254,45.091,117.542,95.847,7.819,31.965,97.569,0.379,decrease_temperature,13.811,36.146,False
6,8,700.043,1.2363,44.311,118.306,97.226,6.944,36.146,95.405,0.303,increase_rf_power,10.934,40.106,False
6,9,702.094,1.2283,42.845,116.666,99.793,6.367,40.106,97.527,0.288,increase_rf_power,16.152,43.61,False
6,10,700.927,1.2029,43.711,117.764,95.496,6.246,43.61,98.418,0.271,decrease_rf_power,18.962,46.888,False
6,11,704.136,1.2021,42.549,116.748,93.491,5.864,46.888,96.543,0.292,increase_temperature,16.076,49.965,False
6,12,703.377,1.157,41.797,115.385,91.313,6.464,49.965,97.478,0.349,decrease_rf_power,18.65,53.276,False
6,13,702.069,1.1624,40.772,116.747,88.307,6.378,53.276,97.308,0.452,decrease_rf_power,18.914,56.389,False
6,14,701.527,1.1565,40.038,117.475,88.903,6.352,56.389,97.726,0.48,decrease_precursor_flow,21.171,59.451,False
6,15,700.913,1.1591,41.735,115.464,90.827,5.784,59.451,98.426,0.49,decrease_carrier_flow,24.468,62.436,False
6,16,701.255,1.1451,41.766,115.086,88.862,5.697,62.436,96.724,0.412,decrease_rf_power,23.887,65.357,False
6,17,698.534,1.1549,42.311,115.433,91.275,5.723,65.357,97.556,0.445,decrease_temperature,27.946,68.368,False
6,18,697.473,1.2102,41.859,114.435,92.36,5.799,68.368,98.188,0.45,increase_rf_power,32.108,71.211,False
6,19,695.251,1.2399,42.485,112.538,96.803,5.996,71.211,98.62,0.476,increase_rf_power,36.557,74.331,False
6,20,695.195,1.2234,43.066,113.253,96.84,5.759,74.331,97.485,0.345,increase_carrier_flow,39.82,77.39,False
6,21,692.251,1.2375,40.465,113.561,95.645,6.152,77.39,97.817,0.518,decrease_temperature,44.131,80.35,False
6,22,692.478,1.256,40.002,115.056,93.161,6.24,80.35,97.693,0.73,decrease_rf_power,48.487,83.452,False
6,23,690.952,1.2215,39.008,116.046,94.405,6.271,83.452,97.769,0.498,decrease_temperature,57.273,86.279,False
6,24,693.269,1.2929,39.374,116.921,93.173,5.728,86.279,96.376,0.465,increase_temperature,62.179,88.912,False
6,25,696.714,1.2997,39.754,116.457,92.741,6.017,88.912,97.556,0.504,increase_temperature,73.529,91.784,False
6,26,696.03,1.2646,37.776,116.065,92.882,5.631,91.784,97.198,0.372,decrease_precursor_flow,83.716,94.37,False
6,27,694.2,1.2748,38.163,114.335,93.278,5.938,94.37,97.114,0.535,decrease_temperature,94.542,97.178,False
6,28,692.941,1.2865,38.358,115.279,93.608,6.184,97.178,97.699,0.664,decrease_temperature,159.046,100.021,True
6,29,691.332,1.2412,39.902,115.664,89.322,5.969,100.021,96.928,0.584,decrease_rf_power,93.202,102.944,False
6,30,694.134,1.2151,39.104,115.981,90.298,6.118,102.944,97.319,0.608,increase_temperature,80.719,105.948,False
